authorshipnumber,articlenumber,journal,volume,issue,startpage,pubyear,pubmonth,receiveddate,title,link1,link2,last,first,middle,position
1,1,Ophthalmology,124,1,12,2017,1,23-Feb-16,Safety of Concurrent Boston Type I Keratoprosthesis and Glaucoma Drainage Device Implantation.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27614591,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27614591&id=doi:10.1016%2Fj.ophtha.2016.08.003&issn=0161-6420&isbn=&volume=124&issue=1&spage=12&date=2017&title=Ophthalmology&atitle=Safety+of+Concurrent+Boston+Type+I+Keratoprosthesis+and+Glaucoma+Drainage+Device+Implantation.&aulast=Lenis&pid=%3CAN%3E27614591%3C%2FAN%3E,Lenis,Tamara,L,f
2,1,Ophthalmology,124,1,12,2017,1,23-Feb-16,Safety of Concurrent Boston Type I Keratoprosthesis and Glaucoma Drainage Device Implantation.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27614591,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27614591&id=doi:10.1016%2Fj.ophtha.2016.08.003&issn=0161-6420&isbn=&volume=124&issue=1&spage=12&date=2017&title=Ophthalmology&atitle=Safety+of+Concurrent+Boston+Type+I+Keratoprosthesis+and+Glaucoma+Drainage+Device+Implantation.&aulast=Lenis&pid=%3CAN%3E27614591%3C%2FAN%3E,Chiu,Stephan,Y,m
3,1,Ophthalmology,124,1,12,2017,1,23-Feb-16,Safety of Concurrent Boston Type I Keratoprosthesis and Glaucoma Drainage Device Implantation.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27614591,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27614591&id=doi:10.1016%2Fj.ophtha.2016.08.003&issn=0161-6420&isbn=&volume=124&issue=1&spage=12&date=2017&title=Ophthalmology&atitle=Safety+of+Concurrent+Boston+Type+I+Keratoprosthesis+and+Glaucoma+Drainage+Device+Implantation.&aulast=Lenis&pid=%3CAN%3E27614591%3C%2FAN%3E,Law,Simon,K,m
4,1,Ophthalmology,124,1,12,2017,1,23-Feb-16,Safety of Concurrent Boston Type I Keratoprosthesis and Glaucoma Drainage Device Implantation.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27614591,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27614591&id=doi:10.1016%2Fj.ophtha.2016.08.003&issn=0161-6420&isbn=&volume=124&issue=1&spage=12&date=2017&title=Ophthalmology&atitle=Safety+of+Concurrent+Boston+Type+I+Keratoprosthesis+and+Glaucoma+Drainage+Device+Implantation.&aulast=Lenis&pid=%3CAN%3E27614591%3C%2FAN%3E,Yu,Fei,,m
5,1,Ophthalmology,124,1,12,2017,1,23-Feb-16,Safety of Concurrent Boston Type I Keratoprosthesis and Glaucoma Drainage Device Implantation.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27614591,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27614591&id=doi:10.1016%2Fj.ophtha.2016.08.003&issn=0161-6420&isbn=&volume=124&issue=1&spage=12&date=2017&title=Ophthalmology&atitle=Safety+of+Concurrent+Boston+Type+I+Keratoprosthesis+and+Glaucoma+Drainage+Device+Implantation.&aulast=Lenis&pid=%3CAN%3E27614591%3C%2FAN%3E,Aldave,Anthony,J,l
6,2,Ophthalmology,124,1,20,2017,1,19-Apr-16,Boston Keratoprosthesis Type 1: A Randomized Controlled Trial of Fresh versus Frozen Corneal Donor Carriers with Long-Term Follow-up.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27566854,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27566854&id=doi:10.1016%2Fj.ophtha.2016.07.019&issn=0161-6420&isbn=&volume=124&issue=1&spage=20&date=2017&title=Ophthalmology&atitle=Boston+Keratoprosthesis+Type+1%3A+A+Randomized+Controlled+Trial+of+Fresh+versus+Frozen+Corneal+Donor+Carriers+with+Long-Term+Follow-up.&aulast=Muzychuk&pid=%3CAN%3E27566854%3C%2FAN%3E,Muzychuk,Adam,K,f
7,2,Ophthalmology,124,1,20,2017,1,19-Apr-16,Boston Keratoprosthesis Type 1: A Randomized Controlled Trial of Fresh versus Frozen Corneal Donor Carriers with Long-Term Follow-up.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27566854,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27566854&id=doi:10.1016%2Fj.ophtha.2016.07.019&issn=0161-6420&isbn=&volume=124&issue=1&spage=20&date=2017&title=Ophthalmology&atitle=Boston+Keratoprosthesis+Type+1%3A+A+Randomized+Controlled+Trial+of+Fresh+versus+Frozen+Corneal+Donor+Carriers+with+Long-Term+Follow-up.&aulast=Muzychuk&pid=%3CAN%3E27566854%3C%2FAN%3E,Robert,Marie-Claude,,m
8,2,Ophthalmology,124,1,20,2017,1,19-Apr-16,Boston Keratoprosthesis Type 1: A Randomized Controlled Trial of Fresh versus Frozen Corneal Donor Carriers with Long-Term Follow-up.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27566854,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27566854&id=doi:10.1016%2Fj.ophtha.2016.07.019&issn=0161-6420&isbn=&volume=124&issue=1&spage=20&date=2017&title=Ophthalmology&atitle=Boston+Keratoprosthesis+Type+1%3A+A+Randomized+Controlled+Trial+of+Fresh+versus+Frozen+Corneal+Donor+Carriers+with+Long-Term+Follow-up.&aulast=Muzychuk&pid=%3CAN%3E27566854%3C%2FAN%3E,Dao,Stanley,,m
9,2,Ophthalmology,124,1,20,2017,1,19-Apr-16,Boston Keratoprosthesis Type 1: A Randomized Controlled Trial of Fresh versus Frozen Corneal Donor Carriers with Long-Term Follow-up.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27566854,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27566854&id=doi:10.1016%2Fj.ophtha.2016.07.019&issn=0161-6420&isbn=&volume=124&issue=1&spage=20&date=2017&title=Ophthalmology&atitle=Boston+Keratoprosthesis+Type+1%3A+A+Randomized+Controlled+Trial+of+Fresh+versus+Frozen+Corneal+Donor+Carriers+with+Long-Term+Follow-up.&aulast=Muzychuk&pid=%3CAN%3E27566854%3C%2FAN%3E,Harissi-Dagher,Mona,,l
10,3,Ophthalmology,124,1,27,2017,1,26-Apr-16,Long-term Visual Outcomes and Complications of Boston Keratoprosthesis Type II Implantation.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=27538795,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:27538795&id=doi:10.1016%2Fj.ophtha.2016.07.011&issn=0161-6420&isbn=&volume=124&issue=1&spage=27&date=2017&title=Ophthalmology&atitle=Long-term+Visual+Outcomes+and+Complications+of+Boston+Keratoprosthesis+Type+II+Implantation.&aulast=Lee&pid=%3CAN%3E27538795%3C%2FAN%3E,Lee,Ramon,,f
